"","Zuzanna","Lena","Maja","Hanna","Zofia","Amelia","Alicja","Aleksandra","Natalia","Wiktoria","Emilia","Antonina","Laura","Anna","Nadia","Pola","Liliana","datProb1"
"1",0,70,35,66,83,77,0,0,0,100,25,33,10,2,0,0,0,2
"2",0,90,2,97,100,200,1,0,0,71,0,41,17,8,0,0,1,1
"3",0,80,32,105,100,404,3,0,0,57,0,26,36,8,0,0,1,1
"4",0,77,4,77,97,349,1,0,0,46,21,22,7,6,0,0,0,1
"5",0,76,17,101,100,207,0,0,0,58,0,24,21,8,0,0,1,1
"6",0,80,11,129,93,443,3,0,0,75,46,41,27,5,0,0,0,1
"7",0,65,0,15,100,27,0,0,0,80,0,90,10,8,0,0,1,2
"8",0,68,20,72,91,238,0,0,0,44,3,21,33,2,0,0,0,1
"9",0,87,11,99,100,99,0,0,0,38,0,29,3,8,0,0,1,2
"10",0,56,75,25,50,48,0,0,0,71,2,25,8,6,0,0,0,2
"11",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"12",0,62,61,14,100,0,1,0,0,100,0,0,0,8,1,0,1,2
"13",0,58,81,62,80,125,2,0,0,83,1,60,10,6,0,0,0,2
"14",0,80,8,80,100,355,5,0,0,57,0,23,27,8,0,0,1,1
"15",0,63,0,43,90,123,6,0,0,60,4,62,29,6,0,0,0,2
"16",0,64,43,78,73,173,1,0,0,74,5,42,26,5,0,0,0,2
"17",0,73,1,54,92,0,0,0,0,57,3,15,19,6,1,0,0,2
"18",0,67,61,17,100,134,2,0,0,75,0,25,49,8,0,0,1,2
"19",0,91,2,122,100,336,0,0,0,27,0,18,17,8,0,0,1,1
"20",0,65,79,36,100,138,2,0,0,100,0,40,5,8,0,0,1,2
"21",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"22",0,84,2,108,95,339,0,0,0,50,51,23,43,6,0,0,0,1
"23",0,85,26,132,100,198,0,0,0,100,0,60,5,8,0,0,1,1
"24",0,55,29,119,78,316,0,0,0,50,1,26,23,5,0,0,0,1
"25",0,79,21,71,100,104,0,0,0,100,0,0,3,8,0,0,1,2
"26",0,80,18,65,100,122,1,0,0,83,0,42,19,8,0,0,1,2
"27",0,84,16,37,100,93,3,0,0,75,0,29,7,8,0,0,1,2
"28",0,68,54,48,100,175,1,0,0,83,0,28,29,8,0,0,1,2
"29",0,74,34,88,100,204,0,0,0,75,0,40,64,8,0,0,1,1
"30",0,74,0,48,50,91,3,0,1,100,0,100,2,7,0,0,1,2
"31",0,88,6,73,100,188,0,0,0,43,0,25,16,8,0,0,1,2
"32",0,82,21,81,100,340,3,0,0,48,0,44,84,8,0,0,1,1
"33",0,70,30,47,100,142,2,0,0,55,0,19,16,8,0,0,1,2
"34",0,72,57,75,95,294,0,0,0,91,46,62,21,6,0,0,0,1
"35",0,74,70,72,100,158,0,0,0,63,0,41,27,8,0,0,1,2
"36",0,61,28,61,89,190,0,0,0,55,10,14,45,6,0,0,0,2
"37",0,64,28,55,78,153,0,0,0,71,7,22,9,4,0,0,0,2
"38",0,75,13,21,94,61,1,0,0,53,0,29,17,7,0,0,1,2
"39",0,73,37,83,100,188,0,0,0,75,0,42,32,8,0,0,1,2
"40",0,77,23,51,100,115,0,0,0,64,0,26,31,8,0,0,1,2
"41",0,88,17,119,100,193,2,0,0,75,0,33,14,8,0,0,1,1
"42",1,20,0,0,20,0,0,1,1,0,0,0,0,0,1,1,1,2
"43",0,83,4,100,92,198,2,0,0,75,41,68,25,5,0,0,0,1
"44",0,73,38,83,95,138,0,0,0,43,17,10,20,4,0,0,0,2
"45",0,72,15,81,100,264,3,0,0,50,0,21,44,8,0,0,1,1
